id,name,molecule_code,group_id,group_name_cache,class_type_id,class_type_name_cache,experimental_measurements_count,membrane_binding_energy,logp7_4_blm,logp0_blm,molecular_weight,pKa,wiki_name,pubchem,metabolome,chEBI,drugbank,KEGG,PDB,influx,efflux,intracellular_localization,annotation,created_at,updated_at,logp6_5_pampa_ds,logp7_4_pampa_ds,logp0_pampa_ds,logp6_5_caco,logp0_caco,logp0_bbb,logp0_pm,,,,
330,Nitrendipine,Nitrendipine,1,Neutral,3,Organoheterocyclic compounds,3,-3.9,-1.18,-1.18,360,Nitrendipine,4507,HMDB15187,553570,DB01054,C07713,,"SLCO1B1(i), SLCO1B3(stim), SLCO2B1(stim)",ABCB1(i),Membrane,"Nitrendipine is a calcium channel blocker with marked vasodilator action. It is an effective antihypertensive agent and differs from other calcium channel blockers in that it does not reduce glomerular filtration rate and is mildly natriuretic, rather than sodium retentive. By deforming the channel, inhibiting ion-control gating mechanisms, and/or interfering with the release of calcium from the sarcoplasmic reticulum, Nitrendipine inhibits the influx of extracellular calcium across the myocardial and vascular smooth muscle cell membranes The decrease in intracellular calcium inhibits the contractile processes of the myocardial smooth muscle cells, causing dilation of the coronary and systemic arteries, increased oxygen delivery to the myocardial tissue, decreased total peripheral resistance, decreased systemic blood pressure, and decreased afterload.",2018-08-16 02:02:23 UTC,2019-03-21 00:34:17 UTC,-2.31,-2.31,-2.31,-3.78,-3.78,-3.31,-2.84,,,,,
331,Nortriptyline,Nortriptyline,2,Bases,4,Benzenoids,3,-5.9,0.86,3.69,263,10.13,Nortriptyline,4543,HMDB14680,7640,DB00540,C07274,21B,"SLC6A2, SLC6A4",,"Cytoplasm, Extracellular, Membrane","Nortriptyline hydrochloride, the N-demethylated active metabolite of amitriptyline, is a dibenzocycloheptene-derivative tricyclic antidepressant (TCA). TCAs are structurally similar to phenothiazines. They contain a tricyclic ring system with an alkyl amine substituent on the central ring. In non-depressed individuals, nortriptyline does not affect mood or arousal, but may cause sedation. In depressed individuals, nortriptyline exerts a positive effect on mood. TCAs are potent inhibitors of serotonin and norepinephrine reuptake. Secondary amine TCAs, such as nortriptyline, are more potent inhibitors of norepinephrine reuptake than tertiary amine TCAs, such as amitriptyline. TCAs also down-regulate cerebral cortical &beta;-adrenergic receptors and sensitize post-synaptic serotonergic receptors with chronic use. The antidepressant effects of TCAs are thought to be due to an overall increase in serotonergic neurotransmission. TCAs also block histamine, adrenergic receptors and muscarinic receptors, which accounts for their sedative, hypotensive and anticholinergic effects (e.g. blurred vision, dry mouth, constipation, urinary retention), respectively.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:39 UTC,-1.29,-0.43,2.18,-3.5,-2.54,-1.59,1.11,,,,
332,Noscapine,Noscapine,2,Bases,8,Alkaloids and derivatives,1,-1.4,-5.23,-5.32,413,6.2,(-)-alpha-Narcotine,275196,HMDB33439,,C09592,,,ABCC2(i),"Cytoplasm, Extracellular","(-)-alpha-Narcotine (noscapine) is found in opium poppy. (-)-alpha-Narcotine is an alkaloid from Papaver somniferum (opium poppy).Noscapine (also known as Narcotine, Nectodon, Nospen, and Anarcotine) is a benzylisoquinoline alkaloid from plants of the Papaveraceae family, without significant painkilling properties. This agent is primarily used for its antitussive (cough-suppressing) effects. It has also been shown to have anticancer activity. ",2018-08-16 02:02:23 UTC,2019-05-22 02:17:39 UTC,-6.05,-6.05,-6.13,-4.82,-4.84,-4.77,-6.19,,,,,
333,Octanoic (caprylic) acid,Octanoic_acid,3,Acids,5,Organic acids and derivatives,3,-3.7,-2.08,0.34,143,4.89,octanoate radical,119389,HMDB62511,25646,,,OCA,,,,"Caprylic (octanoic) acid is the common name for the eight-carbon saturated fatty acid known by the systematic name octanoic acid. Its compounds are found naturally in the milk of various mammals, and as a minor constituent of coconut oil and palm kernel oil. It is an oily liquid that is minimally soluble in water with a slightly unpleasant rancid-like smell and taste.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:39 UTC,-2.27,-3.15,-0.91,-3.77,-3.39,-2.77,-1.6,,,,
334,Olanzapine,Olanzapine,2,Bases,3,Organoheterocyclic compounds,2,-3.4,-0.22,0.35,312,7.8,Olanzapine,4585,HMDB05012,7735,DB00334,C07322,,,"ABCB1(s,i), ABCG2(i)",,"Olanzapine was the third atypical antipsychotic to gain approval by the Food and Drug Administration (FDA) and has become one of the most commonly used atypical antipsychotics. Olanzapine has been approved by the FDA for the treatment of schizophrenia, acute mania in bipolar disorder, agitation associated with schizophrenia and bipolar disorder, and as maintenance treatment in bipolar disorder and psychotic depression. It has also been established in treating depression off-label because of its mood-stabilizing properties and its ability to increase the efficacy of antidepressants. Olanzapine has been approved by the FDA for the treatment of schizophrenia, acute mania in bipolar disorder, agitation associated with schizophrenia and bipolar disorder, and as maintenance treatment in bipolar disorder and psychotic depression.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:39 UTC,-2.31,-1.43,-0.9,-3.78,-3.39,-2.77,-1.6,,,,
335,Ondansetron,Ondansetron,2,Bases,3,Organoheterocyclic compounds,1,-4.1,0.76,-0.03,293,7.34,Ondansetron,4595,HMDB05035,103183,DB00904,C07325,,"ATP7A, SLCO1B1(i), SLC22A1(i)",ABCB1(s),,Ondansetron is a serotonin 5-HT3 receptor antagonist used mainly to treat nausea and vomiting following chemotherapy. Its effects are thought to be on both peripheral and central nerves. ,2018-08-16 02:02:23 UTC,2019-05-22 02:17:39 UTC,-1.81,-0.53,-1.25,-3.64,-3.49,-2.91,-1.91,,,,
336,Orphenadrine,Orphenadrin,2,Bases,4,Benzenoids,3,-5.3,1.3,2.84,269,8.87,Orphenadrine,4601,HMDB15304,7789,DB01173,C07935,,"SLC6A2, SLC22A1(i)",,"Extracellular, Membrane","Orphenadrine is a muscarinic antagonist used to treat drug-induced parkinsonism and to relieve pain from muscle spasm. Orphenadrine binds and inhibits both histamine H1 receptors and NMDA receptors. It restores the motor disturbances induced by neuroleptics, in particular the hyperkinesia. The dopamine deficiency in the striatum increases the stimulating effects of the cholinergic system. This stimulation is counteracted by the anticholinergic effect of orphenadrine. It may have a relaxing effect on skeletal muscle spasms and it has a mood elevating effect.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:39 UTC,-0.87,-0.03,1.39,-3.38,-2.75,-1.89,0.42,,,,
337,Oxprenolol,Oxprenolol,2,Bases,4,Benzenoids,3,-4.5,-2.71,-0.44,265,9.57,Oxprenolol,4631,HMDB15520,113756,DB01580,,,"SLC22A1(i), SLC22A2(i)",,Membrane,"Oxprenolol is a beta-adrenergic antagonist used in the treatment of hypertension, angina pectoris, arrhythmias, and anxiety. Like other beta-adrenergic antagonists, oxprenolol competes with adrenergic neurotransmitters such as catecholamines for binding at sympathetic receptor sites. Like propranolol and timolol, oxprenolol binds at beta(1)-adrenergic receptors in the heart and vascular smooth muscle, inhibiting the effects of the catecholamines epinephrine and norepinephrine and decreasing heart rate, cardiac output, and systolic and diastolic blood pressure. It also blocks beta-2 adrenergic receptors located in bronchiole smooth muscle, causing vasoconstriction. By binding beta-2 receptors in the juxtaglomerular apparatus, oxprenolol inhibits the production of renin, thereby inhibiting angiotensin II and aldosterone production. Oxprenolol therefore inhibits the vasoconstriction and water retention due to angiotensin II and aldosterone, respectively.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:39 UTC,-4.61,-3.73,-1.63,-4.42,-3.59,-3.05,-2.23,,,,
338,Palmitic acid,Palmitic_acid,3,Acids,9,Lipids and lipid-like molecules,1,-8.3,1.21,3.57,256,4.95,Palmitic acid,985,HMDB00220,15756,DB03796,C00249,PLM,SLC27A1,ABCB1(i),"Cytoplasm, Extracellular, Endoplasmic reticulum, Peroxisome","Palmitic acid, or hexadecanoic acid is one of the most common saturated fatty acids found in animals and plants, a saturated fatty acid found in fats and waxes including olive oil, palm oil, and body lipids.It occurs in the form of esters (glycerides) in oils and fats of vegetable and animal origin. Usually obtained from palm oil. ",2018-08-16 02:02:23 UTC,2019-05-22 02:17:39 UTC,0.78,-0.11,2.07,-2.92,-2.57,-1.63,1.01,,,,
339,Papaverine,Papaverine,2,Bases,3,Organoheterocyclic compounds,3,-2.2,-1.84,-1.86,339,6.4,Papaverine,4680,HMDB15245,121716,DB01113,C06533,EV1,"SLCO1B1(i), SLCO1B3(i), SLCO22A1(i)",,Cytoplasm,"Papaverine is an alkaloid found in opium but not closely related to the other opium alkaloids in its structure or pharmacological actions. It is a direct-acting smooth muscle relaxant used in the treatment of impotence and as a vasodilator, especially for cerebral vasodilation. It apparently can inhibit phosphodiesterases and it may have direct actions on calcium channels. .",2018-08-16 02:02:23 UTC,2019-05-22 02:17:39 UTC,-2.92,-2.92,-2.94,-3.95,-3.95,-3.55,-3.39,,,,
340,Pefloxacin,Pefloxacin,4,Zwitterions,3,Organoheterocyclic compounds,1,-0.5,-6.75,-4.5,333,7.6,Pefloxacin,51081,HMDB14630,50199,DB00487,,,,,"Cytoplasm, Extracellular, Membrane","Pefloxacin is a synthetic broad-spectrum fluoroquinolone antibacterial agent active against most gram-negative and gram-positive bacteria. The bactericidal action of pefloxacin results from interference with the activity of the bacterial enzymes DNA gyrase and topoisomerase IV, which are needed for the transcription and replication of bacterial DNA. DNA gyrase appears to be the primary quinolone target for gram-negative bacteria. Topoisomerase IV appears to be the preferential target in gram-positive organisms. Interference with these two topoisomerases results in strand breakage of the bacterial chromosome, supercoiling, and resealing. As a result DNA replication and transcription is inhibited.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:39 UTC,-7.45,-7.45,-5.38,-5.2,-4.63,-4.48,-5.52,,,,
341,Penbutolol,Penbutolol,2,Bases,4,Benzenoids,4,-5.5,-0.54,2.14,291,9.94,Penbutolol,37464,HMDB15447,354975,DB01359,C07416,,,,"Extracellular, Membrane","Penbutolol is a medication in the class of beta blockers, used in the treatment of high blood pressure. Penbutolol competes with adrenergic neurotransmitters such as catecholamines for binding at beta(1)-adrenergic receptors in the heart and vascular smooth muscle and beta(2)-receptors in the bronchial and vascular smooth muscle. Beta(1)-receptor blockade results in a decrease in resting and exercise heart rate and cardiac output, a decrease in both systolic and diastolic blood pressure, and, possibly, a reduction in reflex orthostatic hypotension.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:39 UTC,-2.58,-1.73,0.75,-3.85,-2.93,-2.14,-0.15,,,,
342,Pentazocine,Pentazocin,2,Bases,8,Alkaloids and derivatives,2,-4.4,0.86,2.36,285,8.76,Pentazocine,441278,HMDB14790,116117,DB00652,C07421,,,,Membrane,"Pentazocine is an agonist at the kappa and sigma opioid receptors and has a weak antagonist action at the mu receptor. The preponderance of evidence suggests that pentazocine antagonizes the opioid effects by competing for the same receptor sites, especially the opioid mu receptor.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:39 UTC,-1.24,-0.43,0.95,-3.48,-2.88,-2.06,0.03,,,,
343,Pergolide,Pergolide,2,Bases,3,Organoheterocyclic compounds,4,-3.8,0.24,2.5,314,9.62,Pergolide,47811,HMDB15317,63617,DB01186,C07425,,,,Membrane,"Pergolide is a long-acting dopamine agonist approved in 1982 for the treatment of Parkinson's Disease. It is an ergot derivative that acts on the dopamine D2 and D3, alpha2- and alpha1-adrenergic, and 5-hydroxytryptamine (5-HT) receptors. It was indicated as adjunct therapy with levodopa/carbidopa in the symptomatic treatment of parkinsonian syndrome. ",2018-08-16 02:02:23 UTC,2019-05-22 02:17:40 UTC,-1.85,-1,1.08,-3.65,-2.84,-2.01,0.14,,,,
344,Perphenazine,Perphenazine,2,Bases,3,Organoheterocyclic compounds,7,-4.6,-2.07,-1.59,404,7.8,Perphenazine,4748,HMDB14988,8028,DB00850,C07427,,"SLC22A1(i,s)",ABCB1(i),Membrane,Perphenazine is an antipsychotic phenothiazine derivative with actions and uses similar to those of chlorpromazine. Binds to the dopamine D1 and dopamine D2 receptors and inhibits their activity. The mechanism of the anti-emetic effect is due predominantly to blockage of the dopamine D2 neurotransmitter receptors in the chemoreceptor trigger zone and vomiting centre. Perphenazine also binds the alpha andrenergic receptor. This receptor's action is mediated by association with G proteins that activate a phosphatidylinositol-calcium second messenger system.,2018-08-16 02:02:23 UTC,2019-05-22 02:17:40 UTC,-4.02,-3.14,-2.7,-4.25,-3.89,-3.46,-3.17,,,,
345,Phenazopyridine,Phenazopyridine,2,Bases,3,Organoheterocyclic compounds,4,-3.5,-3.14,-3.7,213,5.15,Phenazopyridine,4756,HMDB15506,331062,DB01438,C07429,,,,Membrane,"Phenazopyridine is a local anesthetic that has been used in urinary tract disorders. Its use is limited by problems with toxicity (primarily blood disorders) and potential carcinogenicity. Phenazopyridine's mechanism of action is not well known, and only basic information on its interaction with the body is available. It is known that the chemical has a direct topical analgesic effect on the mucosa lining of the urinary tract.",2018-08-16 02:02:23 UTC,2020-02-12 22:49:32 UTC,-4.12,-4.12,-4.64,-4.16,-4.43,-4.2,-4.86,,,,
346,Phenelzine,Phenelzine,1,Neutral,4,Benzenoids,4,-3.5,2.86,2.86,136,7.71,Phenelzine,3675,HMDB14918,248018,DB00780,C07430,,,,"Cytoplasm, Membrane","Phenelzine is an irreversible non-selective inhibitor of monoamine oxidase. May be used to treat major depressive disorder.Although the exact mechanism of action has not been determined, it appears that the irreversible, nonselective inhibition of MAO by phenelzine relieves depressive symptoms by causing an increase in the levels of serotonin, norepinephrine, and dopamine in the neuron.",2018-08-16 02:02:23 UTC,2019-03-21 00:34:18 UTC,1.41,1.41,1.41,-2.75,-2.75,-1.89,0.44,,,,
347,Phenylbutazone,Phenylbutazone,3,Acids,4,Benzenoids,3,-6,-0.88,2.53,308,4.34,Phenylbutazone,4781,HMDB14950,48574,DB00812,C07440,P1Z,"SLC22A6(i), SLC22A8(i), SLC22A11(i), SLCO1B1(i), SLCO1B3(i)","ABCC2(i,stim)","Cytoplasm, Membrane","A drug that has anti-inflammatory, antipyretic, and analgesic activities. It is especially effective in the treatment of ankylosing spondylitis.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:40 UTC,-1.17,-2.04,1.11,-3.46,-2.83,-2,0.17,,,,
348,Phloretin,Phloretin,3,Acids,10,Phenylpropanoids and polyketides,1,-2.6,-6.77,-5.9,274,7.35,Phloretin,4788,HMDB03306,17276,,C00774,G50,SLC16A1(i),"ABCB1(i), ABCG2(i)",,"Phloretin is the aglucone of phlorizin, a plant-derived dihydrochalcone phytochemical reported to promote potent antioxidative activities in peroxynitrite scavenging and the inhibition of lipid peroxidation. Phloretin, which is present in apples, pears and tomatoes, has been found to inhibit the growth of several cancer cells and induce apoptosis of B16 melanoma and HL60 human leukemia cells. Phloretin also inhibits HT-29 cell growth by inducing apoptosis, which may be mediated through changes in mitochondrial membrane permeability and activation of the caspase pathways. Phloretin is a well-known inhibitor of eukaryotic urea transporters, blocks VacA-mediated urea and ion transport. ",2018-08-16 02:02:23 UTC,2019-05-22 02:17:40 UTC,-7.47,-7.47,-6.67,-5.21,-4.99,-4.98,-6.66,,,,
349,Pilocarpine,Pilocarpine,2,Bases,3,Organoheterocyclic compounds,3,-2.4,-0.68,-1.53,208,7.08,Pilocarpine,5910,HMDB15217,8207,DB01085,C07474,9PL,SLC22A1(i),,Membrane,"Pilocarpine is a slowly hydrolyzed muscarinic agonist with no nicotinic effects. Pilocarpine is used as a miotic and in the treatment of glaucoma. Pilocarpine is a cholinergic parasympathomimetic agent. It increase secretion by the exocrine glands, and produces contraction of the iris sphincter muscle and ciliary muscle (when given topically to the eyes) by mainly stimulating muscarinic receptors.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:40 UTC,-2.96,-1.85,-2.64,-3.96,-3.87,-3.43,-3.12,,,,
350,Pramipexole,Pramipexole,2,Bases,2,Organonitrogen compounds,2,-1.5,-4.5,-1.54,211,10.3,Pramipexole,119570,HMDB14557,8356,DB00413,,,"SLC22A1(s), SLC22A2(s)",,Membrane,Pramipexole is a medication indicated for treating Parkinson's disease and restless legs syndrome (RLS). Pramipexole is classified as a non-ergoline dopamine agonist.,2018-08-16 02:02:23 UTC,2019-05-22 02:17:40 UTC,-6.22,-5.38,-2.65,-4.86,-3.87,-3.44,-3.13,,,,
351,Prednisone,Prednisone,1,Neutral,9,Lipids and lipid-like molecules,3,-3.5,-5.69,-5.69,358,Prednisone,5865,HMDB14773,8382,DB00635,C07370,PDN,"SLCO1A2(i), SLC22A1(i)","ABCB1(s,i), ABCG2(i), ABCC2(i,inducer)","Cytoplasm, Extracellular, Membrane","Prednisone is a synthetic anti-inflammatory glucocorticoid derived from cortisone. It is biologically inert and converted to prednisolone in the liver. Prednisone is a glucocorticoid receptor agonist. Prednisolone crosses cell membranes and binds with high affinity to specific cytoplasmic receptors. The result includes inhibition of leukocyte infiltration at the site of inflammation, interference in the function of mediators of inflammatory response, suppression of humoral immune responses, and reduction in edema or scar tissue. The antiinflammatory actions of corticosteroids are thought to involve phospholipase A2 inhibitory proteins, lipocortins, which control the biosynthesis of potent mediators of inflammation such as prostaglandins and leukotrienes.",2018-08-16 02:02:23 UTC,2019-03-21 00:34:18 UTC,-6.47,-6.47,-6.47,-4.93,-4.93,-4.9,-6.49,,,,,
352,Primaquine,Primaquine,2,Bases,3,Organoheterocyclic compounds,3,-2.7,-5.14,-1.9,259,10.48,Primaquine,4908,HMDB15219,8405,DB01087,C07627,1PQ,,,"Cytoplasm, Membrane",An aminoquinoline that is given by mouth to produce a radical cure and prevent relapse of vivax and ovale malarias following treatment with a blood schizontocide. It has also been used to prevent transmission of falciparum malaria by those returning to areas where there is a potential for re-introduction of malaria. ,2018-08-16 02:02:23 UTC,2019-05-22 02:17:40 UTC,-6.85,-5.96,-2.98,-5.04,-3.97,-3.57,-3.42,,,,
353,Probenecid,Probenecid,3,Acids,4,Benzenoids,7,-2.8,-6.18,-2.09,285,3.39,Probenecid,4911,HMDB15166,177474,DB01032,C07372,,"SLCO1C1(i), SLC16A1(i), SLC16A7(i), SLC22A5(i), SLC22A11(i), SLC10A1(i), SLC22A1(i), SLCO1A2(i), SLC22A2(i), SLC22A6(i), SLC22A7(i)","ABCC2(s,i), ABCC1(i), ABCC6(i), ABCC3(i), ABCB1(i), ABCC4(i), ABCC5(i), ABCC11(i)","Extracellular, Membrane","The prototypical uricosuric agent. It inhibits the renal excretion of organic anions and reduces tubular reabsorption of urate. Probenecid has also been used to treat patients with renal impairment, and, because it reduces the renal tubular excretion of other drugs, has been used as an adjunct to antibacterial therapy. ",2018-08-16 02:02:23 UTC,2019-05-22 02:17:40 UTC,-6.04,-6.93,-3.16,-4.81,-4.01,-3.63,-3.58,,,,
354,Probucol,Probucol,1,Neutral,4,Benzenoids,3,-9.8,5.56,5.56,517,Probucol,4912,HMDB15537,122641,DB01599,C07373,,,,"Cytoplasm, Membrane","Probucol is a drug used to lower LDL and HDL cholesterol yet has little effect on serum-triglyceride or VLDL cholesterol. Probucol lowers serum cholesterol by increasing the fractional rate of low-density lipoprotein (LDL) catabolism in the final metabolic pathway for cholesterol elimination from the body. Additionally, probucol may inhibit early stages of cholesterol biosynthesis and slightly inhibit dietary cholesterol absorption. Recent information suggests that probucol may inhibit the oxidation and tissue deposition of LDL cholesterol, thereby inhibiting atherogenesis. It appears to inhibits ABCA1-mediated cellular lipid efflux.",2018-08-16 02:02:23 UTC,2019-03-21 00:34:18 UTC,3.91,3.91,3.91,-2.06,-2.06,-0.93,2.62,,,,,
355,Procaine,Procaine,2,Bases,4,Benzenoids,3,-2.1,-2.53,-0.75,236,9.04,Procaine,4914,HMDB14859,8430,DB00721,C07375,,SLC6A3,,"Cytoplasm, Extracellular, Membrane","Procaine is a local anesthetic of the ester type that has a slow onset and a short duration of action. It is mainly used for infiltration anesthesia, peripheral nerve block, and spinal block. Procaine acts mainly by inhibiting sodium influx through voltage gated sodium channels in the neuronal cell membrane of peripheral nerves. When the influx of sodium is interrupted, an action potential cannot arise and signal conduction is thus inhibited. The receptor site is thought to be located at the cytoplasmic (inner) portion of the sodium channel. Procaine has also been shown to bind or antagonize the function of N-methyl-D-aspartate (NMDA) receptors as well as nicotinic acetylcholine receptors and the serotonin receptor-ion channel complex.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:40 UTC,-4.4,-3.56,-1.92,-4.36,-3.67,-3.16,-2.49,,,,
356,Procarbazine,Procarbazine,1,Neutral,4,Benzenoids,2,-3.2,-0.77,-0.77,221,Procarbazine,4915,HMDB15299,366225,DB01168,C07402,,,,"Cytoplasm, Membrane","Procarbazine is an antineoplastic agent used primarily in combination with mechlorethamine, vincristine, and prednisone (the MOPP protocol) in the treatment of Hodgkin's disease. The precise mode of cytotoxic action of procarbazine has not been clearly defined. There is evidence that the drug may act by inhibition of protein, RNA and DNA synthesis. Studies have suggested that procarbazine may inhibit transmethylation of methyl groups of methionine into t-RNA. The absence of functional t-RNA could cause the cessation of protein synthesis and consequently DNA and RNA synthesis. In addition, procarbazine may directly damage DNA. Hydrogen peroxide, formed during the auto-oxidation of the drug, may attack protein sulfhydryl groups contained in residual protein which is tightly bound to DNA.",2018-08-16 02:02:23 UTC,2019-03-21 00:34:18 UTC,-1.93,-1.93,-1.93,-3.67,-3.67,-3.16,-2.5,,,,,
357,Procyclidine,Procyclidine,2,Bases,2,Organonitrogen compounds,3,-4.5,0.93,2.88,287,9.45,Procyclidine,4919,HMDB14531,8448,DB00387,C07378,,,ABCG2(i),Membrane,"Procyclidine is a muscarinic antagonist that crosses the blood-brain barrier and is used in the treatment of drug-induced extrapyramidal disorders and in parkinsonism. The mechanism of action is unknown. It is thought that Procyclidine acts by blocking central cholinergic receptors, and thus balancing cholinergic and dopaminergic activity in the basal ganglia. Many of its effects are due to its pharmacologic similarities with atropine. Procyclidine exerts an antispasmodic effect on smooth muscle, and may produce mydriasis and reduction in salivation.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:40 UTC,-1.16,-0.37,1.43,-3.46,-2.74,-1.88,0.45,,,,
358,Progesterone,Progesterone,1,Neutral,9,Lipids and lipid-like molecules,7,-4.8,1.83,1.83,314,Progesterone,5994,HMDB01830,17026,DB00396,C00410,STR,"SLC10A1(i), SLC22A1(i), SLC22A2(i), SLC22A3(i), ABCO1B1(i), ABCO1B3(i,inducer), ABCO2B1(stim)","ABCB1(s,i,inducer), ABCC1(i), ABCB11(i), ABCG2(i)","Cytoplasm, Extracellular, Endoplasmic reticulum","Progesterone is the major progestational steroid that is secreted primarily by the corpus luteum and the placenta. Progesterone acts on the uterus, the mammary glands and the brain. It is required in embryo implantation, pregnancy maintenance, and the development of mammary tissue for milk production. Progesterone, converted from pregnenolone, also serves as an intermediate in the biosynthesis of gonadal steroid hormones and adrenal corticosteroids. Progesterone is a C-21 steroid hormone involved in the female menstrual cycle, pregnancy (supports gestation) and embryogenesis of humans and other species. During implantation and gestation, progesterone appears to decrease the maternal immune response to allow for the acceptance of the pregnancy. Progesterone decreases contractility of the uterine smooth muscle. The fetus metabolizes placental progesterone in the production of adrenal mineralo- and glucosteroids. A drop in progesterone levels is possibly one step that facilitates the onset of labor. In addition progesterone inhibits lactation during pregnancy. The fall in progesterone levels following delivery is one of the triggers for milk production. ",2018-08-16 02:02:23 UTC,2019-03-21 00:34:18 UTC,0.46,0.46,0.46,-3.01,-3.01,-2.25,-0.4,,,,,
359,Promethazine,Promethazine,2,Bases,3,Organoheterocyclic compounds,3,-4.5,0.37,2.13,284,9.05,Promethazine,4927,HMDB15202,8461,DB01069,C07404,,SLC22A1(i),ABCB1(i),Membrane,"Promethazine is a phenothiazine derivative with histamine H1-blocking, antimuscarinic, and sedative properties. It is used as an antiallergic, in pruritus, for motion sickness and sedation, and also in animals. Like other H1-antagonists, promethazine competes with free histamine for binding at H1-receptor sites in the GI tract, uterus, large blood vessels, and bronchial muscle. The relief of nausea appears to be related to central anticholinergic actions and may implicate activity on the medullary chemoreceptor trigger zone.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:40 UTC,-1.73,-0.88,0.74,-3.62,-2.94,-2.14,-0.16,,,,
360,Propafenone,Propafenone,2,Bases,10,Phenylpropanoids and polyketides,3,-6.2,-2.4,-0.02,341,9.63,Propafenone,4932,HMDB15313,63619,DB01182,C07381,,"SLC22A1(i), SLC22A2(i)","ABCB1(i), ABCC2(i), ABCG2(i)",Membrane,"Propafenone is an antiarrhythmia agent that is particularly effective in ventricular arrhythmias. It also has weak beta-blocking activity. The drug is generally well tolerated. The electrophysiological effect of propafenone manifests itself in a reduction of upstroke velocity (Phase 0) of the monophasic action potential. In Purkinje fibers, and to a lesser extent myocardial fibers, propafenone reduces the fast inward current carried by sodium ions, which is responsible for the drugs antiarrhythmic actions. Diastolic excitability threshold is increased and effective refractory period prolonged. Propafenone reduces spontaneous automaticity and depresses triggered activity. At very high concentrations in vitro, propafenone can inhibit the slow inward current carried by calcium but this calcium antagonist effect probably does not contribute to antiarrhythmic efficacy.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:40 UTC,-4.32,-3.44,-1.25,-4.33,-3.48,-2.9,-1.9,,,,
361,Propanol,Propanol,1,Neutral,1,Organooxygen compounds,1,-1.8,-0.84,-0.84,60,Propyl alcohol,1031,HMDB00820,28831,DB03175,C05979,POL,,,,"Propyl alcohol is a colorless liquid made by oxidation of aliphatic hydrocarbons that is used as a solvent and chemical intermediate. Propyl alcohol is a primary alcohol with the formula CH3CH2CH2OH. It is also known as propan-1-ol, 1-propanol, 1-propyl alcohol, n-propyl alcohol, or simply propanol. It is an isomer of propan-2-ol. It is used as a solvent in the pharmaceutical industry, and for resins and cellulose esters. It is formed naturally in small amounts during many fermentation processes and small amounts are produced by gut microflora.",2018-08-16 02:02:23 UTC,2019-03-21 00:34:18 UTC,-2,-2,-2,-3.69,-3.69,-3.19,-2.56,,,,,
362,Propoxyphene,Propoxyphene,2,Bases,10,Phenylpropanoids and polyketides,3,-5.9,1.68,3.47,339,9.22,Propoxyphene,25137854,HMDB14785,8497,DB00647,C07406,,,,Membrane,"Propoxyphene is a narcotic analgesic structurally related to methadone. Only the dextro-isomer has an analgesic effect; the levo-isomer appears to exert an antitussive effect. Propoxyphene acts as a weak agonist at OP1, OP2, and OP3 opiate receptors within the central nervous system (CNS). Propoxyphene primarily affects OP3 receptors, which are coupled with G-protein receptors and function as modulators, both positive and negative, of synaptic transmission via G-proteins that activate effector proteins. Binding of the opiate stimulates the exchange of GTP for GDP on the G-protein complex. As the effector system is adenylate cyclase and cAMP located at the inner surface of the plasma membrane, opioids decrease intracellular cAMP by inhibiting adenylate cyclase. Subsequently, the release of nociceptive neurotransmitters such as substance P, GABA, dopamine, acetylcholine, and noradrenaline is inhibited. Opioids such as propoxyphene also inhibit the release of vasopressin, somatostatin, insulin, and glucagon. Opioids close N-type voltage-operated calcium channels (OP2-receptor agonist) and open calcium-dependent inwardly rectifying potassium channels (OP3 and OP1 receptor agonist). This results in hyperpolarization and reduced neuronal excitability.",2018-08-16 02:02:23 UTC,2019-05-22 02:17:40 UTC,-0.45,0.32,1.97,-3.26,-2.59,-1.67,0.93,,,,
363,1-Propylamine,Propylamine,2,Bases,2,Organonitrogen compounds,1,-1.5,-4.07,-0.58,59,1-Propylamine,7852,HMDB34006,39870,,,3CN,,,"Cytoplasm, Extracellular",1-Propylamine is found in common grape. 1-Propylamine is isolated from vegetable sources.,2018-08-16 02:02:23 UTC,2019-05-22 02:17:33 UTC,-5.87,-4.98,-1.77,-4.76,-3.63,-3.1,-2.35,,,,,
